ally_top,ally_jungle,ally_mid,ally_adc,ally_supp,enemy_top,enemy_jungle,enemy_mid,enemy_adc,enemy_supp,target_win
-1,-1,-1,-1,-1,-1,233,-1,-1,-1,1
14,-1,-1,222,-1,17,233,-1,51,-1,1
14,106,134,222,53,-1,233,105,51,902,1
17,233,105,51,902,14,106,134,222,53,0
17,-1,-1,-1,-1,-1,-1,134,-1,-1,0
-1,-1,105,-1,-1,-1,-1,-1,-1,-1,0
17,233,105,51,902,14,106,-1,222,53,0
17,56,893,895,350,86,238,112,51,267,1
-1,-1,-1,895,350,-1,-1,-1,51,-1,1
-1,56,893,-1,350,86,238,-1,51,267,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,267,1
86,238,112,51,267,17,56,893,895,350,0
86,238,-1,51,-1,17,56,893,895,350,0
86,-1,-1,-1,-1,-1,-1,893,-1,-1,0
-1,238,-1,51,267,17,56,893,-1,350,0
75,80,61,22,17,266,28,777,800,99,1
75,-1,-1,-1,-1,-1,-1,777,800,-1,1
-1,80,-1,-1,17,-1,-1,-1,-1,-1,1
-1,80,61,22,17,266,28,777,800,-1,1
266,28,777,800,99,75,80,61,22,17,0
-1,28,-1,-1,-1,-1,-1,61,-1,17,0
-1,-1,-1,-1,-1,75,-1,-1,-1,-1,0
-1,28,-1,-1,-1,75,-1,-1,-1,-1,0
31,238,45,51,267,58,28,800,22,17,1
-1,-1,-1,-1,267,-1,28,800,22,-1,1
-1,238,-1,-1,267,58,28,800,22,-1,1
-1,-1,45,-1,-1,58,28,800,-1,17,1
58,28,800,22,17,31,238,45,51,267,0
58,28,800,22,17,31,-1,45,51,267,0
-1,-1,800,22,-1,-1,238,-1,-1,-1,0
58,-1,-1,-1,-1,-1,-1,-1,51,-1,0
154,28,893,119,201,114,11,61,81,17,1
154,28,893,-1,201,-1,11,61,-1,-1,1
154,28,893,119,201,114,-1,-1,-1,17,1
-1,-1,893,-1,201,114,-1,61,-1,17,1
114,11,61,81,17,154,28,893,119,201,0
114,-1,61,81,17,154,-1,-1,119,201,0
114,11,61,81,17,-1,28,893,119,201,0
114,11,-1,-1,17,154,28,893,-1,201,0
31,107,45,202,17,110,245,10,51,902,1
31,-1,-1,-1,-1,-1,-1,-1,-1,902,1
-1,-1,-1,202,-1,-1,-1,-1,51,902,1
-1,-1,-1,-1,-1,-1,245,10,-1,-1,1
110,245,10,51,902,31,107,45,202,17,0
110,245,10,-1,-1,31,107,-1,202,17,0
110,-1,10,-1,902,-1,-1,-1,-1,17,0
-1,-1,-1,-1,-1,-1,107,-1,-1,17,0
24,234,245,96,117,98,106,142,110,143,1
24,234,245,96,117,-1,106,142,110,143,1
-1,234,245,-1,117,98,106,-1,110,143,1
-1,-1,-1,-1,-1,-1,-1,142,-1,-1,1
98,106,142,110,143,24,234,245,96,117,0
98,106,-1,-1,-1,-1,234,245,-1,-1,0
-1,-1,142,110,-1,-1,-1,-1,-1,-1,0
-1,106,142,110,143,-1,-1,-1,-1,-1,0
86,60,163,18,111,24,56,157,67,201,0
-1,-1,-1,18,-1,-1,-1,-1,-1,-1,0
86,-1,-1,-1,111,-1,56,157,67,201,0
86,60,-1,18,111,24,-1,157,67,201,0
24,56,157,67,201,86,60,163,18,111,1
-1,56,157,67,201,-1,60,163,18,111,1
-1,56,157,67,-1,-1,60,-1,18,-1,1
-1,-1,157,67,-1,-1,-1,-1,-1,-1,1
98,9,777,67,888,86,107,112,119,142,1
-1,-1,777,-1,-1,86,-1,-1,119,-1,1
98,9,777,-1,888,86,107,-1,-1,-1,1
-1,-1,-1,-1,888,-1,-1,-1,119,-1,1
86,107,112,119,142,98,9,777,67,888,0
-1,-1,-1,-1,142,-1,-1,-1,-1,-1,0
86,-1,112,119,142,98,9,-1,67,888,0
-1,-1,112,119,142,98,9,777,-1,-1,0
82,106,25,236,267,126,238,711,901,902,1
-1,-1,25,236,267,-1,238,711,901,902,1
82,106,25,236,267,126,-1,-1,901,902,1
82,-1,25,236,267,126,-1,711,-1,902,1
126,238,711,901,902,82,106,25,236,267,0
126,-1,-1,-1,-1,-1,-1,25,-1,267,0
126,238,711,901,902,-1,106,25,236,267,0
126,-1,711,-1,902,-1,106,25,236,267,0
887,59,112,901,143,58,131,69,145,267,0
-1,-1,112,-1,143,-1,-1,69,145,267,0
887,-1,112,-1,-1,58,131,-1,-1,267,0
887,-1,112,901,-1,-1,131,-1,-1,267,0
58,131,69,145,267,887,59,112,901,143,1
58,131,69,145,267,-1,59,112,901,143,1
-1,131,69,-1,267,-1,59,112,901,143,1
-1,131,-1,-1,-1,887,59,-1,-1,-1,1
58,234,25,96,147,6,35,99,222,37,0
-1,234,-1,96,147,6,-1,99,-1,-1,0
58,-1,25,96,-1,-1,-1,-1,-1,37,0
58,-1,25,-1,-1,-1,35,99,222,37,0
6,35,99,222,37,58,234,25,96,147,1
6,35,99,222,37,-1,-1,25,-1,-1,1
-1,35,-1,-1,37,58,234,25,96,147,1
-1,-1,99,-1,37,58,-1,25,-1,147,1
86,77,63,21,45,68,35,3,222,101,0
86,77,-1,21,45,68,35,3,-1,-1,0
86,77,63,21,45,68,-1,3,222,101,0
86,-1,63,-1,-1,68,-1,-1,-1,-1,0
68,35,3,222,101,86,77,63,21,45,1
-1,35,3,-1,101,-1,77,63,-1,-1,1
68,35,3,222,101,86,-1,63,-1,45,1
68,35,3,222,101,-1,-1,63,21,-1,1
266,141,83,22,99,86,234,517,221,432,0
266,141,-1,-1,-1,-1,-1,517,221,-1,0
-1,141,83,-1,-1,86,234,-1,221,-1,0
266,141,-1,-1,99,-1,-1,-1,-1,-1,0
86,234,517,221,432,266,141,83,22,99,1
-1,234,-1,221,432,266,141,-1,22,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,22,99,1
-1,-1,-1,221,-1,-1,141,-1,-1,-1,1
86,141,136,112,35,83,234,90,29,555,1
-1,141,-1,-1,-1,-1,-1,90,-1,-1,1
-1,141,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,112,-1,-1,-1,-1,29,555,1
83,234,90,29,555,86,141,136,112,35,0
-1,-1,90,29,555,-1,-1,-1,112,-1,0
-1,234,90,29,-1,86,141,136,112,-1,0
83,-1,90,-1,-1,86,-1,-1,-1,-1,0
36,141,136,145,117,114,33,99,119,78,1
36,-1,-1,-1,117,-1,-1,99,119,78,1
36,141,-1,145,-1,114,-1,99,119,-1,1
36,141,-1,-1,-1,-1,33,-1,119,78,1
114,33,99,119,78,36,141,136,145,117,0
114,33,99,119,78,36,141,136,-1,117,0
114,33,99,119,78,36,-1,136,-1,117,0
-1,-1,99,-1,-1,36,-1,-1,-1,-1,0
82,91,8,81,117,41,121,910,222,44,1
82,-1,8,81,-1,41,-1,910,222,44,1
-1,91,8,81,117,41,-1,910,-1,44,1
-1,-1,-1,81,117,41,121,-1,-1,-1,1
41,121,910,222,44,82,91,8,81,117,0
-1,121,-1,222,44,82,91,8,81,117,0
41,-1,-1,-1,44,-1,91,-1,81,117,0
-1,121,-1,222,-1,82,-1,8,-1,117,0
58,245,29,901,350,86,76,157,81,235,0
-1,-1,-1,-1,350,-1,-1,-1,-1,-1,0
-1,245,29,-1,-1,86,-1,157,-1,-1,0
-1,245,29,901,350,-1,76,157,-1,235,0
86,76,157,81,235,58,245,29,901,350,1
-1,-1,157,81,-1,-1,-1,-1,-1,-1,1
86,76,157,81,235,-1,245,29,901,350,1
-1,76,157,-1,-1,-1,-1,29,-1,-1,1
516,25,112,222,161,79,233,238,81,43,0
-1,25,-1,222,161,79,-1,-1,-1,43,0
516,25,112,222,161,79,-1,238,81,43,0
516,25,112,222,161,79,233,238,-1,-1,0
79,233,238,81,43,516,25,112,222,161,1
79,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
79,233,238,81,43,-1,25,112,222,161,1
-1,233,-1,-1,43,516,-1,-1,222,-1,1
83,203,61,498,63,150,35,80,145,117,0
83,203,-1,498,-1,150,-1,80,145,-1,0
83,203,-1,498,63,150,35,80,-1,-1,0
83,203,-1,-1,63,-1,35,-1,145,-1,0
150,35,80,145,117,83,203,61,498,63,1
-1,-1,-1,145,-1,-1,-1,-1,498,63,1
-1,-1,-1,145,-1,-1,-1,-1,-1,-1,1
150,-1,-1,145,117,83,203,61,-1,63,1
39,64,1,29,9,516,106,518,901,902,0
-1,64,1,-1,9,-1,-1,-1,901,-1,0
-1,-1,1,29,9,-1,106,-1,-1,-1,0
-1,-1,-1,-1,9,-1,-1,-1,-1,-1,0
516,106,518,901,902,39,64,1,29,9,1
516,-1,-1,901,902,39,64,-1,-1,9,1
516,106,518,-1,-1,39,64,-1,-1,9,1
-1,-1,518,-1,-1,-1,64,-1,-1,-1,1
2,107,133,22,235,266,77,7,51,412,0
2,-1,133,22,-1,266,77,7,51,-1,0
-1,-1,-1,-1,235,266,77,7,51,412,0
-1,107,133,-1,235,266,-1,7,51,412,0
266,77,7,51,412,2,107,133,22,235,1
266,-1,7,-1,412,2,107,133,22,235,1
-1,-1,7,51,412,-1,-1,-1,-1,-1,1
266,77,7,-1,-1,-1,107,-1,-1,-1,1
516,107,91,202,60,23,19,1,67,555,0
516,-1,-1,-1,-1,23,-1,1,-1,-1,0
516,-1,91,202,-1,-1,19,1,-1,555,0
-1,-1,-1,-1,60,-1,-1,1,-1,-1,0
23,19,1,67,555,516,107,91,202,60,1
-1,-1,-1,-1,-1,-1,-1,-1,202,-1,1
23,19,1,67,555,516,107,-1,202,60,1
-1,-1,-1,-1,-1,516,-1,-1,-1,60,1
58,107,910,51,60,150,106,893,67,43,0
-1,-1,910,-1,60,150,106,893,67,-1,0
-1,-1,910,-1,-1,150,-1,-1,67,-1,0
58,107,910,51,60,150,106,-1,67,43,0
150,106,893,67,43,58,107,910,51,60,1
